都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
132195,1,東京都,狛江市,狛江市役所,ｺﾏｴｼﾔｸｼｮ,狛江市和泉本町１丁目１番5号,,35.63494013,139.5787757,本庁舎２階総合案内前,03-3430-1111,2442・2421,,狛江市,月火水木金,8:30,17:00,土日、祝日、年末年始を除く,有,"https://www.city.komae.tokyo.jp/index.cfm/42,73691,328,2043,html",
132195,2,東京都,狛江市,狛江市役所,ｺﾏｴｼﾔｸｼｮ,狛江市和泉本町１丁目１番5号,防災センター２階,35.63466216,139.5781963,安心安全課カウンター,03-3430-1111,2442・2421,,狛江市,月火水木金,8:30,17:00,土日、祝日、年末年始を除く,有,"https://www.city.komae.tokyo.jp/index.cfm/42,73691,328,2043,html",指揮車備付けの携帯型を設置
132195,3,東京都,狛江市,狛江市立狛江第一小学校,ｺﾏｴｼﾘﾂｺﾏｴﾀﾞｲｲﾁｼｮｳｶﾞｯｺｳ,狛江市和泉本町１丁目37番1号,,35.63733,139.57809,校舎昇降口,03-3480-0241,,,,,,,学校開校時使用可,有,,
132195,4,東京都,狛江市,狛江市立狛江第三小学校,ｺﾏｴｼﾘﾂｺﾏｴﾀﾞｲｻﾝｼｮｳｶﾞｯｺｳ,狛江市猪方１丁目11番1号,,35.62810934,139.585056,校舎昇降口,03-3480-8585,,,,,,,学校開校時使用可,有,,
132195,5,東京都,狛江市,狛江市立狛江第五小学校,ｺﾏｴｼﾘﾂﾀﾞｲｺﾞｼｮｳｶﾞｯｺｳ,狛江市東野川１丁目35番13号,,35.64393576,139.5816416,校舎昇降口,03-3489-4430,,,,,,,学校開校時使用可,有,,
132195,6,東京都,狛江市,狛江市立狛江第六小学校,ｺﾏｴｼﾘﾂｺﾏｴﾀﾞｲﾛｸｼｮｳｶﾞｯｺｳ,狛江市駒井町１丁目21番1号,,35.62460954,139.5852024,校舎昇降口,03-3480-9981,,,,,,,学校開校時使用可,有,,
132195,7,東京都,狛江市,狛江市立和泉小学校,ｺﾏｴｼﾘﾂｲｽﾞﾐｼｮｳｶﾞｯｺｳ,狛江市中和泉３丁目33丁目1番,,35.63473697,139.5683215,校舎昇降口,03-3480-3881,,,,,,,学校開校時使用可,有,,
132195,8,東京都,狛江市,狛江市立緑野小学校,ｺﾏｴｼﾘﾂﾐﾄﾞﾘﾉｼｮｳｶﾞｯｺｳ,狛江市和泉本町4丁目3番１号,,35.64171,139.57103,校舎昇降口,03-3489-5418,,,,,,,学校開校時使用可,有,,
132195,9,東京都,狛江市,狛江市立狛江第一中学校,ｺﾏｴｼﾘﾂﾀﾞｲｲﾁﾁｭｳｶﾞｯｺｳ,狛江市和泉本町２丁目15番1号,,35.64082622,139.5776589,校舎昇降口,03-3480-0121,,,,,,,学校開校時使用可,有,,
132195,10,東京都,狛江市,狛江市立狛江第二中学校,ｺﾏｴｼﾘﾂﾀﾞｲﾆﾁｭｳｶﾞｯｺｳ,狛江市猪方２丁目7番1号,,35.62727,139.58314,校舎昇降口,03-3480-8891,,,,,,,学校開校時使用可,有,,
132195,11,東京都,狛江市,狛江市立狛江第三中学校,ｺﾏｴｼﾘﾂﾀﾞｲｻﾝﾁｭｳｶﾞｯｺｳ,狛江市元和泉１丁目23番1号,,35.62995,139.57463,校舎昇降口,03-3489-5416,,,,,,,学校開校時使用可,有,,
132195,12,東京都,狛江市,狛江市立狛江第四中学校,ｺﾏｴｼﾘﾂﾀﾞｲﾖﾝﾁｭｳｶﾞｯｺｳ,狛氏東野川４丁目1番1号,,35.64523,139.58167,校舎昇降口,03-3480-9691,,,,,,,学校開校時使用可,有,,
132195,13,東京都,狛江市,狛江市立狛江第一小学校体育館,ｺﾏｴｼﾘﾂｺﾏｴﾀﾞｲｲﾁｼｮｳｶﾞｯｺｳﾀｲｲｸｶﾝ,狛江市和泉本町１丁目37番1号,,35.63745,139.57815,体育館入口,03-3480-0241,,,,,,,体育館使用時使用可,有,,
132195,14,東京都,狛江市,狛江市立狛江第三小学校体育館,ｺﾏｴｼﾘﾂｺﾏｴﾀﾞｲｻﾝｼｮｳｶﾞｯｺｳﾀｲｲｸｶﾝ,狛江市猪方１丁目11番1号,,35.62778,139.58448,体育館入口,03-3480-8585,,,,,,,体育館使用時使用可,有,,
132195,15,東京都,狛江市,狛江市立狛江第五小学校体育館,ｺﾏｴｼﾘﾂﾀﾞｲｺﾞｼｮｳｶﾞｯｺｳﾀｲｲｸｶﾝ,狛江市東野川１丁目35番13号,,35.64383,139.58096,体育館入口,03-3489-4430,,,,,,,体育館使用時使用可,有,,
132195,16,東京都,狛江市,狛江市立狛江第六小学校体育館,ｺﾏｴｼﾘﾂｺﾏｴﾀﾞｲﾛｸｼｮｳｶﾞｯｺｳﾀｲｲｸｶﾝ,狛江市駒井町１丁目21丁目1号,,35.62478,139.5849,体育館入口,03-3480-9981,,,,,,,体育館使用時使用可,有,,
132195,17,東京都,狛江市,狛江市立和泉小学校体育館,ｺﾏｴｼﾘﾂｲｽﾞﾐｼｮｳｶﾞｯｺｳﾀｲｲｸｶﾝ,狛江市中和泉３丁目33丁目1号,,35.63485,139.56861,体育館入口,03-3480-3881,,,,,,,体育館使用時使用可,有,,
132195,18,東京都,狛江市,狛江市立緑野小学校体育館,ｺﾏｴｼﾘﾂﾐﾄﾞﾘﾉｼｮｳｶﾞｯｺｳ,狛江市和泉本町４丁目3番１号,,35.64138,139.57017,体育館入口,03-3489-5418,,,,,,,体育館使用時使用可,有,,
132195,19,東京都,狛江市,狛江市立狛江第一中学校体育館,ｺﾏｴｼﾘﾂﾀﾞｲｲﾁﾁｭｳｶﾞｯｺｳﾀｲｲｸｶﾝ,狛江市和泉本町２丁目15番1号,,35.6404518,139.5774335,体育館入口,03-3480-0121,,,,,,,体育館使用時使用可,有,,
132195,20,東京都,狛江市,狛江市立狛江第二中学校体育館,ｺﾏｴｼﾘﾂﾀﾞｲﾆﾁｭｳｶﾞｯｺｳﾀｲｲｸｶﾝ,狛江市猪方２丁目7番1号,,35.62698,139.58317,体育館入口,03-3480-8891,,,,,,,体育館使用時使用可,有,,
132195,21,東京都,狛江市,狛江市立狛江第三中学校体育館,ｺﾏｴｼﾘﾂﾀﾞｲｻﾝﾁｭｳｶﾞｯｺｳﾀｲｲｸｶﾝ,狛江市元和泉１丁目23番1号,,35.63017,139.57445,体育館入口,03-3489-5416,,,,,,,体育館使用時使用可,有,,
132195,22,東京都,狛江市,狛江市立狛江第四中学校体育館,ｺﾏｴｼﾘﾂﾀﾞｲﾖﾝﾁｭｳｶﾞｯｺｳﾀｲｲｸｶﾝ,狛江市東野川４丁目1番1号,,35.64543,139.58198,体育館入口,03-3480-9691,,,,,,,体育館使用時使用可,有,,
132195,23,東京都,狛江市,中央公民館,ﾁｭｳｵｳｺｳﾐﾝｶﾝ,狛江市和泉本町１丁目１番5号,市民センター内,35.63506,139.57815,１階事務室横,03-3488-4411,,,,月火水木金土日,8:30,21:30,休館日（毎月第１・第３火曜日、年末年始、祝日開館日を除く祝日）、祝日開館日（成人の日・海の日・敬老の日・スポーツの日）は午後５時まで,有,,
132195,24,東京都,狛江市,西河原公民館,ﾆｼｶﾞﾜﾗｺｳﾐﾝｶﾝ,狛江市元和泉２丁目35番1号,,35.63338,139.56706,１階出入口横,03-3480-3201,,,,月火水木金土日,8:30,21:30,休館日（毎月第１・第３火曜日、年末年始、祝日）,有,,
132195,25,東京都,狛江市,狛江市民総合体育館,ｺﾏｴｼﾐﾝｿｳｺﾞｳﾀｲｲｸｶﾝ,狛江市和泉本町３丁目25番１号,,35.64236,139.57323,１階受付事務所,03-3430-1141,,,,月火水木金土日,9:00,21:00,休館日（偶数月第３木曜日、年末年始）,有,,
132195,26,東京都,狛江市,狛江市民総合体育館,ｺﾏｴｼﾐﾝｿｳｺﾞｳﾀｲｲｸｶﾝ,狛江市和泉本町３丁目25番１号,,35.64236,139.57323,１階トレーニング室,03-3430-1141,,,,月火水木金土日,9:00,21:00,休館日（偶数月第３木曜日、年末年始）,有,,
132195,27,東京都,狛江市,狛江市民グランド,ｺﾏｴｼﾐﾝｸﾞﾗﾝﾄﾞ,狛江市和泉本町２丁目15番２号,,35.63988,139.57898,管理棟内,03-3430-1141,,,,月火水木金土日,6:00,18:00,休場日（偶数月第３木曜日、年末年始）、終了時間（４〜８月は18時、９月は17時、10〜３月は16時）,有,,利用者がいる時のみ使用可能
132195,28,東京都,狛江市,西和泉体育館,ﾆｼｲｽﾞﾐﾀｲｲｸｶﾝ,狛江市西和泉１丁目16番1号,,35.64027,139.56512,管理人室,03-3430-1141,,,,月火水木金土日,9:00,21:00,休館日（偶数月第３木曜日、年末年始）,有,,
132195,29,東京都,狛江市,元和泉市民テニスコート,ﾓﾄｲｽﾞﾐｼﾐﾝﾃﾆｽｺｰﾄ,狛江市元和泉２丁目８番１号,,35.63018294,139.5716077,管理人室,03-3430-1141,,,,月火水木金土日,10:00,18:00,休場日（偶数月第３木曜日、年末年始）、終了時間（４〜８月は18時、９月は17時、10〜３月は16時）,有,,
132195,30,東京都,狛江市,東野川市民テニスコート,ﾋｶﾞｼﾉｶﾞﾜｼﾐﾝﾃﾆｽｺｰﾄ,狛江市東野川３丁目14番10号,,35.64707,139.58233,管理人室,03-3430-1141,,,,月火水木金土日,10:00,16:00,休場日（偶数月第３木曜日、年末年始）,有,,
132195,31,東京都,狛江市,古民家園,ｺﾐﾝｶｴﾝ,狛江市元和泉２丁目15番5号,,35.63297,139.57095,管理事務所内,03-3489-8981,,,,火水木金土日,9:30,16:30,休園日（毎週月曜日、月曜日が休日にあたる場合はその翌開園日、年末年始）,有,,
132195,32,東京都,狛江市,あいとぴあセンター,ｱｲﾄﾋﾟｱｾﾝﾀｰ,狛江市元和泉２丁目35番１号,,35.63331,139.56778,１階健康推進課窓口,03-3488-1181,,,,月火水木金土日,,,休館日（第３土曜日、年末年始）,有,,
132195,33,東京都,狛江市,あいとぴあセンター,ｱｲﾄﾋﾟｱｾﾝﾀｰ,狛江市元和泉２丁目35番１号,,35.63331,139.56778,２階休日診療所前,03-3488-1181,,,,月火水木金土日,,,休館日（第３土曜日、年末年始）,有,,
132195,34,東京都,狛江市,あいとぴあセンター,ｱｲﾄﾋﾟｱｾﾝﾀｰ,狛江市元和泉２丁目35番１号,,35.63331,139.56778,４階プール入口,03-3488-1181,,,,月火水木金土日,,,休館日（第３土曜日、年末年始）,有,,
132195,35,東京都,狛江市,狛江市子育て・教育支援複合施設（ひだまりセンター）,ｺﾏｴｼｺｿﾀﾞﾃ･ｷｮｳｲｸｼｴﾝﾌｸｺﾞｳｼｾﾂ(ﾋﾀﾞﾏﾘｾﾝﾀｰ),狛江市元和泉１丁目11番11号,,35.6314,139.57617,１階総合事務室内,03-5761-9012,,,,月火水木金,8:30,18:00,休館日（土日、祝日、年末年始）,有,,
132195,36,東京都,狛江市,狛江市子育て・教育支援複合施設（ひだまりセンター）,ｺﾏｴｼｺｿﾀﾞﾃ･ｷｮｳｲｸｼｴﾝﾌｸｺﾞｳｼｾﾂ(ﾋﾀﾞﾏﾘｾﾝﾀｰ),狛江市元和泉１丁目11番11号,,35.6314,139.57617,２階児童発達支援センタースタッフルーム内,03-5761-9085,,,,月火水木金,9:00,18:00,休館日（土日、祝日、年末年始）,有,,
132195,37,東京都,狛江市,駒井学童保育所・六小KoKoA,ｺﾏｲｶﾞｸﾄﾞｳﾎｲｸｼﾞｮ･ﾛｸｼｮｳｺｺｱ,狛江市駒井町１丁目21番6号,六小校庭隣,35.62494,139.5853,１階KoKoAルーム内,03-3489-2877,,,,,,,開園日・開園時間帯使用可,有,,
132195,38,東京都,狛江市,猪方学童保育所,ｲﾉｶﾞﾀｶﾞｸﾄﾞｳﾎｲｸｼﾞｮ,狛江市猪方１丁目11番２号,三小校庭隣,35.62736,139.58567,出入口を入って左手、カウンターの上,03-3480-9362,,,,,,,開園日・開園時間帯使用可,有,,
132195,39,東京都,狛江市,東野川学童保育所,ﾋｶﾞｼﾉｶﾞﾜｶﾞｸﾄﾞｳﾎｲｸｼﾞｮ,狛江市東野川１丁目６番３号,,35.64332,139.58086,事務室入り口　書庫の上,03-3480-8709,,,,,,,開園日・開園時間帯使用可,有,,
132195,40,東京都,狛江市,松原学童保育所,ﾏﾂﾊﾞﾗｶﾞｸﾄﾞｳﾎｲｸｼﾞｮ,狛江市和泉本町１丁目14番３号,,35.63896,139.5779,事務室内,03-3489-9380,,,,,,,開園日・開園時間帯使用可,有,,
132195,41,東京都,狛江市,上和泉学童保育所,ｶﾐｲｽﾞﾐｶﾞｸﾄﾞｳﾎｲｸｼﾞｮ,狛江市和泉本町４丁目７番51号,上和泉地域センター内,35.64509,139.56798,育成室の職員のタイムカードの前,03-3489-7530,,,,,,,開園日・開園時間帯使用可,有,,
132195,42,東京都,狛江市,第五小学校放課後クラブ,ﾀﾞｲｺﾞｼｮｳｶﾞｯｺｳﾎｳｶｺﾞｸﾗﾌﾞ,狛江市東野川１丁目36番13号,狛江第五小学校隣接,35.64458,139.58173,１階受付前カウンター,03-3430-4113,,,,,,,開園日・開園時間帯使用可,有,,
132195,43,東京都,狛江市,藤塚保育園,ﾌｼﾞﾂﾞｶﾎｲｸｴﾝ,狛江市和泉本町４丁目７番35号,,35.64219,139.56986,１階事務室内,03-3489-2835,,,,,,,開園日・開園時間帯使用可,有,,
132195,44,東京都,狛江市,駒井保育園,ｺﾏｲﾎｲｸｴﾝ,狛江市駒井町２丁目28番6号,,35.62443767,139.5875633,１階事務室内,03-3480-9361,,,,,,,開園日・開園時間帯使用可,有,,
132195,45,東京都,狛江市,駄倉保育園,ﾀﾞｸﾞﾗﾎｲｸｴﾝ,狛江市岩戸北３丁目20番2号,,35.63291,139.58162,１階事務室内　入り口付近,03-3489-5415,,,,,,,開園日・開園時間帯使用可,有,,
132195,46,東京都,狛江市,三島保育園,ﾐｼﾏﾎｲｸｴﾝ,狛江市東野川１丁目32番2号,,35.64188,139.58283,１階玄関 下駄箱(棚の中),03-3488-3898,,,,,,,開園日・開園時間帯使用可,有,,
132195,47,東京都,狛江市,岩戸児童センター,ｲﾜﾄｼﾞﾄﾞｳｾﾝﾀｰ,狛江市岩戸南３丁目15番１号,,35.62917099,139.587911,1階事務室内,03-3489-5414,,,,,,,開館日・開館時間帯使用可,有,,
132195,48,東京都,狛江市,和泉児童館,ｲｽﾞﾐｼﾞﾄﾞｳｶﾝ,狛江市中和泉３丁目12番６号,,35.63685,139.57062,1階事務室内,03-3480-1441,,,,,,,開館日・開館時間帯使用可,無,,
132195,49,東京都,狛江市,こまっこ児童館,ｺﾏｯｺｼﾞﾄﾞｳｶﾝ,狛江市和泉本町３丁目31番１９号,,35.64204402,139.575466,1階事務室内,03-3480-5107,,,,,,,開館日・開館時間帯使用可,有,,
132195,50,東京都,狛江市,駄倉小学生クラブ,ﾀﾞｸﾞﾗｼｮｳｶﾞｺｳｴｲｸﾗﾌﾞ,狛江市東和泉１丁目３番17号,駄倉地区センター内,35.63291,139.58058,1階事務室内,03-5761-7780,,,,,,,開所日・開所時間帯使用可,有,,
132195,51,東京都,狛江市,市民活動支援センター（こまえくぼ1234）,ｼﾐﾝｶﾂﾄﾞｳｼｴﾝｾﾝﾀｰ(ｺﾏｴｸﾎﾞｲﾁﾆｻﾝﾖﾝ),狛江市和泉本町１丁目２番34号,,35.63432,139.58038,受付カウンター上,03-5761-5556,,,,月水木金土日,10:00,17:00,休館日（毎週火曜日、祝日、年末年始）,有,,
132195,52,東京都,狛江市,野川地域センター,ﾉｶﾞﾜﾁｲｷｾﾝﾀｰ,狛江市西野川１丁目６番９号,,35.64612,139.57566,１階入口,03-3480-2211,,,,月火水木金土日,9:00,21:30,休館日（第２第４火曜日は、年末年始）,有,,
132195,53,東京都,狛江市,上和泉地域センター,ｶﾐｲｽﾞﾐﾁｲｷｾﾝﾀｰ,狛江市和泉本町４丁目７番５１号,,35.64511409,139.5678151,１階入口,03-3489-9101,,,,月火水木金土日,9:00,21:30,休館日（第２第５火曜日は、年末年始）,有,,
132195,54,東京都,狛江市,岩戸地域センター,ｲﾜﾄﾁｲｷｾﾝﾀｰ,狛江市岩戸南２丁目２丁目５号,,35.63214,139.58608,１階エレベーター横,03-3488-7040,,,,月火水木金土日,9:00,21:30,休館日（第２第６火曜日は、年末年始）,有,,
132195,55,東京都,狛江市,南部地域センター,ﾅﾝﾌﾞﾁｲｷｾﾝﾀｰ,狛江市猪方４丁目11番１号,,35.62337497,139.5798098,１階入口,03-3489-2150,,,,月火水木金土日,9:00,21:30,休館日（第２第７火曜日は、年末年始）,有,,
132195,56,東京都,狛江市,和泉多摩川地区センター,ｲｽﾞﾐﾀﾏｶﾞﾜﾁｸｾﾝﾀｰ,狛江市猪方４丁目１番１号,,35.62467,139.57405,1F公衆トイレ入り口,なし,,,,全日・全時間帯使用可,,,,有,,
132195,57,東京都,狛江市,狛江市民ホール,ｺﾏｴｼﾐﾝﾎｰﾙ,狛江市元和泉１丁目２番１号,４階ロビー,35.63309,139.5778,4階ロビー（ホール使用時間外は閉鎖）,03-3430-4106,,,,月水木金土日,9:00,22:00,休館日（毎週火曜日、12月と３月は第２・第４火曜日のみ、年末年始）,有,,
